criterion,method,avg_rank,first_count,first_ratio,second_count,third_count
contact,baseline,2.6000,0,0.0000,4,6
contact,hireact,1.5000,7,0.7000,1,2
contact,hireact_star,1.9000,3,0.3000,5,2
reaction,baseline,2.1000,3,0.3000,3,4
reaction,hireact,1.9000,2,0.2000,7,1
reaction,hireact_star,2.0000,5,0.5000,0,5
realism,baseline,2.5000,1,0.1000,3,6
realism,hireact,1.4000,7,0.7000,2,1
realism,hireact_star,2.1000,2,0.2000,5,3
