method,contact_avg_rank,contact_first_count,contact_first_ratio,contact_second_count,contact_third_count,reaction_avg_rank,reaction_first_count,reaction_first_ratio,reaction_second_count,reaction_third_count,realism_avg_rank,realism_first_count,realism_first_ratio,realism_second_count,realism_third_count
baseline,2.2000,2,0.2000,4,4,2.0000,2,0.2000,6,2,2.1000,2,0.2000,5,3
hireact,1.4000,7,0.7000,2,1,1.2000,8,0.8000,2,0,1.4000,7,0.7000,2,1
hireact_star,2.4000,1,0.1000,4,5,2.8000,0,0.0000,2,8,2.5000,1,0.1000,3,6
