method,contact_avg_rank,contact_first_count,contact_first_ratio,contact_second_count,contact_third_count,reaction_avg_rank,reaction_first_count,reaction_first_ratio,reaction_second_count,reaction_third_count,realism_avg_rank,realism_first_count,realism_first_ratio,realism_second_count,realism_third_count
baseline,2.5231,32,0.1231,60,168,2.4269,42,0.1615,65,153,2.4500,38,0.1462,67,155
hireact,1.4346,179,0.6885,49,32,1.5154,162,0.6231,62,36,1.4846,169,0.6500,56,35
hireact_star,2.0423,49,0.1885,151,60,2.0577,56,0.2154,133,71,2.0654,53,0.2038,137,70
