criterion,method,avg_rank,first_count,first_ratio,second_count,third_count
contact,baseline,2.6000,1,0.1000,2,7
contact,hireact,1.3000,7,0.7000,3,0
contact,hireact_star,2.1000,2,0.2000,5,3
reaction,baseline,2.7000,0,0.0000,3,7
reaction,hireact,1.1000,9,0.9000,1,0
reaction,hireact_star,2.2000,1,0.1000,6,3
realism,baseline,2.7000,0,0.0000,3,7
realism,hireact,1.4000,6,0.6000,4,0
realism,hireact_star,1.9000,4,0.4000,3,3
