criterion,method,avg_rank,first_count,first_ratio,second_count,third_count
contact,baseline,2.3000,2,0.2000,3,5
contact,hireact,1.4000,7,0.7000,2,1
contact,hireact_star,2.3000,1,0.1000,5,4
reaction,baseline,2.3000,2,0.2000,3,5
reaction,hireact,1.4000,6,0.6000,4,0
reaction,hireact_star,2.3000,2,0.2000,3,5
realism,baseline,2.2000,2,0.2000,4,4
realism,hireact,1.3000,7,0.7000,3,0
realism,hireact_star,2.5000,1,0.1000,3,6
