criterion,method,avg_rank,first_count,first_ratio,second_count,third_count
contact,baseline,2.9000,0,0.0000,1,9
contact,hireact,1.0000,10,1.0000,0,0
contact,hireact_star,2.1000,0,0.0000,9,1
reaction,baseline,2.7000,0,0.0000,3,7
reaction,hireact,1.0000,10,1.0000,0,0
reaction,hireact_star,2.3000,0,0.0000,7,3
realism,baseline,2.7000,0,0.0000,3,7
realism,hireact,1.1000,9,0.9000,1,0
realism,hireact_star,2.2000,1,0.1000,6,3
