criterion,method,avg_rank,first_count,first_ratio,second_count,third_count
contact,baseline,2.5000,1,0.1000,3,6
contact,hireact,1.5000,7,0.7000,1,2
contact,hireact_star,2.0000,2,0.2000,6,2
reaction,baseline,2.2000,3,0.3000,2,5
reaction,hireact,1.7000,5,0.5000,3,2
reaction,hireact_star,2.1000,2,0.2000,5,3
realism,baseline,2.5000,1,0.1000,3,6
realism,hireact,1.5000,7,0.7000,1,2
realism,hireact_star,2.0000,2,0.2000,6,2
