criterion,method,avg_rank,first_count,first_ratio,second_count,third_count
contact,baseline,2.6000,13,0.0867,34,103
contact,hireact,1.3333,114,0.7600,22,14
contact,hireact_star,2.0667,23,0.1533,94,33
reaction,baseline,2.5267,15,0.1000,41,94
reaction,hireact,1.3600,108,0.7200,30,12
reaction,hireact_star,2.1133,27,0.1800,79,44
realism,baseline,2.5333,16,0.1067,38,96
realism,hireact,1.3533,109,0.7267,29,12
realism,hireact_star,2.1133,25,0.1667,83,42
