criterion,method,avg_rank,first_count,first_ratio,second_count,third_count
contact,baseline,1.7000,3,0.3000,7,0
contact,hireact,2.1000,4,0.4000,1,5
contact,hireact_star,2.2000,3,0.3000,2,5
reaction,baseline,2.4000,2,0.2000,2,6
reaction,hireact,1.8000,4,0.4000,4,2
reaction,hireact_star,1.8000,4,0.4000,4,2
realism,baseline,2.5000,1,0.1000,3,6
realism,hireact,1.6000,5,0.5000,4,1
realism,hireact_star,1.9000,4,0.4000,3,3
