criterion,method,avg_rank,first_count,first_ratio,second_count,third_count
contact,baseline,2.9000,0,0.0000,1,9
contact,hireact,1.3000,7,0.7000,3,0
contact,hireact_star,1.8000,3,0.3000,6,1
reaction,baseline,2.9000,0,0.0000,1,9
reaction,hireact,1.2000,8,0.8000,2,0
reaction,hireact_star,1.9000,2,0.2000,7,1
realism,baseline,2.9000,0,0.0000,1,9
realism,hireact,1.2000,8,0.8000,2,0
realism,hireact_star,1.9000,2,0.2000,7,1
