method,contact_avg_rank,contact_first_count,contact_first_ratio,contact_second_count,contact_third_count,reaction_avg_rank,reaction_first_count,reaction_first_ratio,reaction_second_count,reaction_third_count,realism_avg_rank,realism_first_count,realism_first_ratio,realism_second_count,realism_third_count
baseline,2.3000,2,0.2000,3,5,2.3000,2,0.2000,3,5,2.2000,2,0.2000,4,4
hireact,1.4000,7,0.7000,2,1,1.4000,6,0.6000,4,0,1.3000,7,0.7000,3,0
hireact_star,2.3000,1,0.1000,5,4,2.3000,2,0.2000,3,5,2.5000,1,0.1000,3,6
